library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
GO_BP	combined	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1855	3755	33010	407	ABL1,ACTL6B,ACVR1,ACVRL1,ADCYAP1,AEBP2,AKR1B1,ALX1,ALX3,ARID2,ARID4B,ARID5B,ARNT2,ASCL2,ASCL4,ATF5,ATF6,ATF7,ATOH1,ATP2B4,ATXN1,AUTS2,BACH2,BARHL1,BARHL2,BATF,BBX,BCAS3,BCL9,BCL9L,BHLHE23,BICRAL,BMP2,BMP6,BMPR1B,BRD4,CAMTA1,CBX5,CCND1,CD40,CDC5L,CDH13,CDX2,CHD4,CHD6,CIITA,CREB3L1,CREB3L2,CREB5,CRYM,CSRNP1,CTBP2,CUX1,CYP1A1,CYTL1,DAB2,DBX1,DLX4,DLX5,DLX6,DMRT1,DMRT3,DMRTA2,DNAJB1,DPF1,DRGX,E4F1,EAF2,EBF1,EGFR,EHF,ELF1,ELL3,ENG,EOMES,EPCAM,EPO,ESR1,ESR2,ESRRG,ETS1,ETV2,ETV4,EVX1,EVX2,EZR,FERD3L,FEV,FEZF1,FGF2,FLI1,FNIP2,FOXA2,FOXB1,FOXC2,FOXD1,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXL2,FOXP1,FOXQ1,GALR1,GALR3,GATA4,GATA6,GCM2,GFI1,GLI2,GLI3,GREM1,GRHL1,GRHL2,GRIN1,GSX1,GTF2IRD1,HAND2,HDAC4,HDAC9,HIF3A,HIVEP3,HJV,HMGA2,HMGB4,HMX2,HMX3,HNF1B,HOPX,HOXA1,HOXA10,HOXA3,HOXA4,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXC13,HOXC4,HOXC6,HOXD10,HOXD11,HOXD13,HOXD3,HOXD8,HOXD9,HTATIP2,ID4,IFI16,IGF1,IGF2,IKZF1,IKZF4,IL4I1,INHBA,INSM1,IRF1,IRF4,IRF7,IRF8,IRX1,IRX4,ISL1,ISL2,LDB2,LEF1,LEFTY1,LHX1,LHX2,LHX4,LHX6,LHX8,LHX9,LILRB1,LINC-PINT,LITAF,LMO2,LOXL2,LPIN1,LRRFIP1,MACC1,MACROH2A1,MAD2L2,MAF,MAML3,MCIDAS,MCPH1,MECOM,MEF2C,MEIS1,MEIS2,MIDEAS,MIR9-1HG,MITF,MKX,MLIP,MNAT1,MSC,MTA3,MUC1,MYF6,MYOD1,MYT1L,NCK2,NCOR2,NEUROD1,NFATC1,NFATC2,NFE2L2,NFIB,NFIL3,NFIX,NFYC,NKX1-1,NKX2-1,NKX2-2,NKX2-4,NKX2-6,NKX2-8,NKX3-2,NKX6-1,NKX6-2,NLRP3,NOS1,NOTCH1,NOTCH4,NPAS4,NR1D2,NR1H2,NR1I2,NR2E1,NR3C1,NR5A2,OLIG1,OLIG3,ONECUT1,ONECUT2,ONECUT3,OTP,OTX1,OTX2,OVOL1,PARP15,PAX2,PAX3,PAX4,PAX5,PAX6,PAX7,PAX9,PBX1,PBX2P1,PDX1,PER1,PHF21A,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU3F3,POU4F1,POU4F2,POU4F3,POU6F2,PPP1R13L,PPP3CA,PRDM14,PRDM15,PRDM16,PRDM6,PRKCB,PRKD1,PRKN,PROX1,PRRX1,PTF1A,PTPRN,RARB,RARG,RB1,RBBP4,RFX1,RFX4,RFX8,RGMA,RNF2,RORA,RREB1,RUNX1,RUNX2,RUVBL1,RXRB,RXRG,SALL1,SALL2,SALL3,SALL4,SATB2,SCRT2,SFRP2,SHH,SHOX2,SIM1,SIM2,SIX1,SIX3,SIX6,SKAP1,SKI,SKOR1,SKOR2,SMAD7,SNCA,SOX1,SOX11,SOX14,SOX17,SOX2,SOX21,SOX5,SOX6,SOX8,SP8,ST18,STAT5A,TAF2,TAF3,TAL1,TAL2,TBL1XR1,TBR1,TBX15,TBX18,TBX19,TBX20,TBX4,TBXT,TCF12,TCF15,TCF20,TCF23,TCF24,TCF7L1,TEAD1,TEAD3,TEAD4,TENM2,TET1,TET3,TFAP2B,TFAP2D,TLX1,TLX2,TLX3,TNFSF11,TOX,TOX2,TRAK1,TRERF1,TRPS1,TWIST1,UTF1,VEGFA,VGLL2,WNT2,WNT3A,WT1,WWOX,WWP2,WWTR1,YWHAZ,ZBTB20,ZBTB46,ZBTB7A,ZFHX3,ZFHX4,ZFP42,ZFPM2,ZIC1,ZIC2,ZIC4,ZIC5,ZKSCAN1,ZMIZ1,ZNF177,ZNF19,ZNF217,ZNF232,ZNF274,ZNF300,ZNF366,ZNF536,ZNF560,ZNF609,ZNF625,ZNF660,ZNF709,ZNF750,ZNF787,ZSCAN1,ZSCAN12,ZSCAN18,ZSCAN23,ZSCAN5A	4.281582984251441e-41	2.3150519195847542e-37
GO_BP	combined	Regulation Of DNA-templated Transcription (GO:0006355)	1780	3755	33010	379	ABL1,ACTL6B,ACVR1,ACVRL1,AEBP2,AKR1B1,ALX1,ALX3,ARID2,ARID4B,ARID5B,ARNT2,ASCL4,ASIC2,ATF5,ATF6,ATF7,ATP2B4,ATP8B1,ATXN1,BACH2,BARHL1,BARHL2,BASP1,BATF,BBX,BICRAL,BMP2,BMP7,BRD4,CAMKK2,CAMTA1,CBFA2T3,CBX5,CD38,CDC5L,CDK14,CDK15,CDK17,CDKN1C,CDKN2A,CDX2,CHD4,CIITA,CREB3L1,CREB3L2,CREB5,CRYAB,CSRNP1,CTBP2,CUX1,CYP1A1,DBX1,DKK3,DLX4,DLX5,DLX6,DMRT1,DMRT3,DMRTA2,DPF1,DRGX,E4F1,EBF1,EFEMP1,EGFR,EHF,ELF1,ENG,EOMES,EPO,ERBB4,ERC1,ERN2,ESR1,ESR2,ESRRG,ETS1,ETV2,ETV4,EVX1,EVX2,F2R,FERD3L,FEV,FEZF1,FGF2,FLI1,FOXA2,FOXB1,FOXC2,FOXD1,FOXD3,FOXE1,FOXE3,FOXG1,FOXI3,FOXL2,FOXP1,FOXQ1,FZD7,GATA4,GATA6,GCM2,GDF6,GDF7,GFI1,GLI2,GLI3,GON4L,GRHL1,GRHL2,GTF2IRD1,HAND2,HDAC4,HDAC9,HIF3A,HIVEP3,HMGA2,HMGB4,HMX2,HMX3,HNF1B,HOPX,HOXA1,HOXA10,HOXA3,HOXA4,HOXA9,HOXB13,HOXB3,HOXB6,HOXB7,HOXC13,HOXC4,HOXC6,HOXD10,HOXD11,HOXD13,HOXD3,HOXD8,HOXD9,HTATIP2,ID4,IFI16,IGF1,IGF2,IKZF1,IKZF4,INHBA,INSR,IRF1,IRF4,IRF7,IRF8,IRX1,IRX4,KAT6B,LEF1,LHX1,LHX2,LHX4,LHX6,LHX8,LHX9,LOXL2,LRRFIP1,MAD2L2,MAF,MEAF6,MECOM,MEF2C,MIDEAS,MITF,MKX,MNAT1,MORF4L1,MSC,MT3,MTA3,MYF6,MYOD1,MYRF,MYT1,MYT1L,NCOR2,NDUFA13,NEUROD1,NFATC1,NFATC2,NFE2L2,NFIB,NFIL3,NFIX,NFYC,NKX1-1,NKX2-1,NKX2-2,NKX2-4,NKX2-6,NKX2-8,NKX3-2,NKX6-1,NKX6-2,NOS1,NOTCH1,NOTCH4,NPAS4,NR1D2,NR1H2,NR1I2,NR3C1,NR5A2,NRG1,NUP62,ONECUT1,ONECUT2,ONECUT3,OTX1,OTX2,OVOL1,PAX2,PAX3,PAX4,PAX5,PAX6,PAX7,PAX9,PBX1,PBX2P1,PDX1,PER1,PHF19,PHOX2A,PHOX2B,PITX1,PITX2,PITX3,POU3F3,POU4F1,POU4F2,POU4F3,POU6F2,PPP1R13L,PRDM11,PRDM14,PRDM15,PRDM16,PRDM8,PRICKLE1,PRKCB,PRKCQ,PRMT2,PROX1,PRRX2,PTF1A,PYHIN1,RB1,RBBP4,RFX1,RFX4,RFX8,RHOH,RNF111,RNF2,RORA,RREB1,RUNX1,RUNX1T1,RUNX2,RUVBL1,RXRB,SALL1,SALL2,SALL3,SALL4,SATB2,SCRT2,SERTAD3,SFRP2,SHH,SHOX2,SIM1,SIM2,SIX1,SIX3,SIX6,SKAP1,SKOR1,SKOR2,SMAD7,SOX1,SOX14,SOX17,SOX2,SOX21,SOX5,SOX6,SOX8,SP8,STAT5A,TAF2,TAL1,TAL2,TBL1XR1,TBR1,TBX15,TBX18,TBX19,TBX20,TBX4,TBXT,TCF12,TCF15,TCF20,TCF23,TCF24,TCF7L1,TEAD1,TEAD3,TEAD4,TFAP2B,TFAP2D,TGFB1I1,TLE1,TLX1,TLX2,TLX3,TNFSF4,TOX,TOX2,TRAK1,TRERF1,TRPS1,TSFM,TWIST1,UTF1,VGLL2,VGLL4,VSX1,WNT3A,WT1,WWP2,WWTR1,YY1AP1,ZBTB46,ZBTB7A,ZFAT,ZFHX3,ZFHX4,ZFP42,ZFPM2,ZIC1,ZIC2,ZIC4,ZIC5,ZKSCAN1,ZMIZ1,ZNF217,ZNF232,ZNF274,ZNF282,ZNF423,ZNF502,ZNF536,ZNF540,ZNF609,ZNF625,ZNF660,ZNF703,ZNF709,ZNF787,ZNF827,ZNF876P,ZSCAN1,ZSCAN12,ZSCAN18,ZSCAN23,ZSCAN5A	3.00913774427912e-35	8.135203891658601e-32
GO_BP	combined	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1182	3755	33010	258	ABL1,ACVR1,ACVRL1,ADCYAP1,AKR1B1,ALX1,ARNT2,ASCL2,ASIC2,ATF5,ATF6,ATF7,ATOH1,AUTS2,BCAS3,BCL9,BCL9L,BHLHE23,BICRAL,BMP2,BMP6,BMP7,BMPR1B,BRD4,CAMKK2,CD38,CD40,CDC5L,CDH13,CDKN1C,CDX2,CHD4,CHD6,CIITA,CREB3L2,CREB5,CSRNP1,CTBP2,CYTL1,DAB2,DLX5,DMRT1,E4F1,EAF2,EGFR,EHF,ELF1,ELL3,ENG,EOMES,EPCAM,EPO,ERBB4,ESR1,ESR2,ESRRG,ETS1,ETV4,F2R,FGF2,FLI1,FOXA2,FOXC2,FOXD3,FOXE1,FOXL2,FZD7,GALR1,GALR3,GATA4,GATA6,GDF6,GDF7,GLI2,GLI3,GNL3,GREM1,GRHL1,GRHL2,GRIN1,GSX1,HAND2,HDAC4,HIVEP3,HJV,HMGA2,HNF1B,HOXA1,HOXA10,HOXB3,HOXB7,HOXC13,HOXC4,HOXD13,HOXD3,HOXD8,HTATIP2,IFI16,IGF1,IGF2,IL4I1,INHBA,IRF1,IRF4,IRF7,IRF8,ISL1,ISL2,KAT6B,LDB2,LEF1,LHX1,LHX2,LHX4,LILRB1,LITAF,LMO2,LPIN1,MACC1,MAD2L2,MAML3,MCIDAS,MEAF6,MECOM,MEF2C,MEIS1,MEIS2,MIR9-1HG,MITF,MLIP,MORF4L1,MT3,MTA3,MYF6,MYOD1,MYRF,NCK2,NEUROD1,NFATC1,NFATC2,NFE2L2,NFIB,NFIL3,NFIX,NFYC,NKX2-1,NKX2-6,NKX2-8,NKX6-1,NLRP3,NOS1,NOTCH1,NOTCH4,NPAS4,NR1D2,NR1H2,NR1I2,NR3C1,NR5A2,NUP62,OLIG1,OLIG3,ONECUT1,ONECUT2,OTX1,OTX2,PAX2,PAX3,PAX6,PBX1,PBX2P1,PDX1,PER1,PHOX2A,PHOX2B,PITX2,PITX3,POU3F3,POU4F1,POU4F2,POU4F3,PPP3CA,PRDM11,PRDM15,PRDM16,PRKD1,PRKN,PRMT2,PROX1,PRRX1,PTPRN,PYHIN1,RARB,RARG,RBBP4,RFX4,RGMA,RNF111,RORA,RPTOR,RREB1,RUNX1,RUNX2,RUVBL1,RXRB,RXRG,SALL1,SALL2,SATB2,SERTAD3,SFRP2,SHH,SIX1,SKAP1,SKI,SOX1,SOX11,SOX14,SOX17,SOX2,SOX8,ST18,STAT5A,TAF2,TAF3,TAL1,TBL1XR1,TBXT,TCF12,TCF15,TCF20,TEAD1,TET1,TET3,TFAP2B,TGFB1I1,TGFB2,TLX2,TNFSF11,TOX2,TRERF1,TWIST1,UTF1,VEGFA,WNT2,WNT3A,WT1,WWOX,WWTR1,ZFHX3,ZFPM2,ZIC1,ZIC2,ZMIZ1,ZNF300,ZNF423,ZNF609,ZNF750	1.0106750257891854e-25	1.5934837446110006e-22
GO_BP	combined	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	888	3755	33010	210	ABL1,ACVR1,ACVRL1,ADCYAP1,AKR1B1,ALX1,ARNT2,ASCL2,ATF5,ATF6,ATF7,ATOH1,AUTS2,BCAS3,BCL9,BCL9L,BHLHE23,BMP2,BMP6,BMPR1B,BRD4,CD40,CDC5L,CDH13,CDX2,CHD6,CIITA,CSRNP1,CTBP2,CYTL1,DAB2,DLX5,DMRT1,E4F1,EAF2,EGFR,EHF,ELF1,ELL2,ELL3,ENG,EOMES,EPCAM,ESR1,ESRRG,ETS1,ETV4,FGF2,FOXA2,FOXC2,FOXD3,GALR1,GALR3,GATA4,GATA6,GLI2,GLI3,GREM1,GRHL1,GRHL2,GRIN1,GSX1,HAND2,HDAC4,HJV,HMGA2,HNF1B,HOXA1,HOXA10,HOXB3,HOXB7,HOXC4,HOXD13,HOXD3,HOXD8,HTATIP2,IFI16,IGF1,IGF2,IL4I1,INHBA,IRF1,IRF4,IRF7,IRF8,ISL1,ISL2,LDB2,LEF1,LHX4,LILRB1,LITAF,LMO2,LPIN1,MACC1,MAML3,MCIDAS,MEF2C,MEIS1,MEIS2,MIR9-1HG,MITF,MLIP,MUC1,MYF6,MYOD1,NCK2,NEUROD1,NFATC1,NFE2L2,NFIB,NFIX,NFYC,NKX2-1,NKX2-6,NKX2-8,NKX6-1,NLRP3,NOS1,NOTCH1,NOTCH4,NPAS4,NR1D2,NR1H2,NR1I2,NR3C1,NR5A2,OLIG1,OLIG3,ONECUT1,ONECUT2,OTX1,OTX2,PAX2,PAX3,PAX6,PBX1,PBX2P1,PDX1,PER1,PHOX2A,PHOX2B,PITX2,POU4F1,POU4F2,POU4F3,PPP3CA,PRDM15,PRKD1,PRKN,PROX1,PRRX1,PTPRN,PWWP2A,RARB,RARG,RFX4,RGMA,RORA,RREB1,RUNX1,RUNX2,RXRB,RXRG,SALL1,SALL2,SATB2,SFRP2,SHH,SIX1,SKAP1,SKI,SOX1,SOX11,SOX14,SOX17,SOX2,SOX8,ST18,STAT5A,TAF2,TAF3,TAL1,TBL1XR1,TBXT,TCF12,TCF15,TCF20,TEAD1,TET1,TET3,TFAP2B,TLX2,TNFSF11,TOX2,TRERF1,TWIST1,UTF1,VEGFA,WNT2,WNT3A,WT1,WWOX,WWTR1,ZFHX3,ZFPM2,ZMIZ1,ZNF300,ZNF609,ZNF750	1.1788302160983915e-25	1.5934837446110006e-22
GO_BP	combined	Neuron Differentiation (GO:0030182)	164	3755	33010	62	ALK,ASCL2,ATOH1,ATP8A2,BHLHE23,BRSK1,EMX1,EMX2,ERBB4,FGF8,FOXA2,FUT9,FZD7,GLI2,GSX1,HAND2,INHBA,INSM1,IRX1,IRX4,ISL2,ITM2C,LHX1,LHX2,LHX4,LHX6,LHX8,LHX9,MEF2C,MYT1L,NEUROD1,OTP,OTX2,PAX6,PBX1,PBX2P1,PHOX2A,PHOX2B,PITX2,PITX3,POU4F2,PTF1A,PTPRD,RTN1,RTN4,RUNX1,RUNX2,SALL1,SHH,SOX11,TENM2,TENM4,TGFB2,USH2A,VAX1,VAX2,VEGFA,VSX1,VXN,WNT2,WNT3A,WNT5B	1.3645808709085705e-18	1.2892516430328042e-15
GO_BP	combined	Nervous System Development (GO:0007399)	411	3755	33010	111	ACTL6B,ADGRB1,ALDH1A2,APBA2,ARHGAP26,ARNT2,ASIC2,ATOH1,ATXN1,BDNF,BTBD3,BTD,CAPG,CBLN1,CDH2,CHRM2,CHRM3,CRMP1,CYP26C1,DLX5,DLX6,DNER,DNM3,DPF1,DRD2,DSCAM,ECRG4,EGFR,EMX1,EMX2,EPHB1,ERBB3,ERBB4,EVL,FAT4,FGF12,FGF14,FGF19,FGF2,FN1,GRHL2,GSX1,HDAC4,HPCAL4,IGF2BP1,INHBA,ITM2B,JARID2,KCNQ2,KIRREL3,LDB2,LHX1,LSAMP,MDGA1,MEF2C,MNX1,MOG,MSI2,MYT1L,NAV1,NAV2,NAV3,NES,NEUROD1,NF1,NR2E1,NRG1,NRSN1,NRXN1,NRXN2,NTF3,PAX6,PHOX2B,POU3F3,POU4F1,POU6F2,PPP1R17,PRKN,PROX1,PTN,RAPGEF5,RAPGEFL1,RBFOX1,RBFOX3,SDK1,SDK2,SEMA5A,SH3GL3,SHANK2,SHH,SHOX2,SLITRK1,SNTG2,SOX11,SOX14,SOX6,SOX8,SPOCK2,SRRM4,ST8SIA2,TRAK1,TRIM71,VAX1,VAX2,VEGFA,VXN,WNT2,ZIC1,ZIC2,ZIC4,ZIC5	1.4306472828179814e-18	1.2892516430328042e-15
GO_BP	combined	Chemical Synaptic Transmission (GO:0007268)	254	3755	33010	76	APBA2,ASIC2,BRSK1,CACNA1A,CACNA1B,CACNA1E,CBLN1,CDH8,CDHR3,CHRM2,CHRM3,CHRNA4,CHRNA6,CHRNA7,CPLX1,CRH,CRHBP,DHX8,DLG2,DLGAP2,DRD2,DRD4,DTNA,ERC1,ERC2,GABBR1,GABRA1,GABRA4,GABRA6,GABRB1,GABRB3,GABRG2,GAD1,GAD2,GALR3,GLRA1,GRIA1,GRIA4,GRID1,GRIK2,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN3A,GRM7,HAPLN4,HTR1A,HTR4,HTR5A,HTR6,KCNA1,KCNQ2,MPZ,MTNR1B,NPBWR1,NPTX2,NRXN1,NRXN2,PENK,PTPRN2,RIMBP2,SEPTIN9,SLC12A5,SLC1A3,SLC1A6,SLC32A1,SLC5A7,SLC6A2,SNAP25,SNCA,SST,SYN2,SYT1,TH	9.395156638944634e-16	6.884151746132993e-13
GO_BP	combined	Negative Regulation Of DNA-templated Transcription (GO:0045892)	931	3755	33010	189	AKR1B1,ALX1,ARID4B,ARID5B,ASCL2,ATF5,ATP8B1,ATXN1,BACH2,BASP1,BMP2,BMP6,BMP7,CBFA2T3,CBX5,CCND1,CD38,CDKN1C,CDKN2A,CDX2,CHD4,CIITA,CREB3L1,CRYAB,CRYM,CTBP2,CUX1,DAB2,DKK3,DLX4,DMRT1,DNAJB1,E4F1,EOMES,EPO,ERN2,ESR1,ESR2,EZR,FERD3L,FNIP2,FOXC2,FOXD1,FOXD3,FOXE1,FOXG1,FOXL2,FOXP1,GATA4,GATA6,GFI1,GLI2,GLI3,GTF2IRD1,HDAC4,HDAC9,HJV,HMGA2,HOXB13,HOXD9,ID4,IFI16,IGF2,IKZF1,IKZF4,INSM1,IRF1,IRF7,IRF8,IRX1,ISL1,KAT6B,LDB2,LEF1,LEFTY1,LHX1,LHX9,LINC-PINT,LOXL2,LRRFIP1,MACROH2A1,MAD2L2,MAF,MCPH1,MECOM,MEF2C,MEIS2,MIDEAS,MITF,MLIP,MTA3,MUC1,MYT1L,NCOR2,NDUFA13,NFIB,NFIL3,NFIX,NKX2-1,NKX6-1,NKX6-2,NOTCH1,NOTCH4,NR1D2,NR1H2,NR1I2,NR2E1,NR3C1,NRG1,OTP,PARP15,PAX2,PAX6,PAX9,PER1,PHF21A,POU3F3,POU4F1,POU4F2,PRDM11,PRDM16,PRDM6,PRICKLE1,PRKN,PRMT2,PROX1,RARB,RARG,RB1,RBBP4,RNF2,RREB1,RUNX1,RUNX1T1,RUNX2,SALL1,SCRT2,SFRP2,SHH,SHOX2,SIX3,SKI,SKOR1,SKOR2,SMAD7,SNCA,SOX1,SOX11,SOX14,SOX2,SOX8,TAF3,TBL1XR1,TBR1,TBX20,TBXT,TCF23,TENM2,TET1,TFAP2B,TLE1,TNFSF4,TRERF1,TRPS1,TWIST1,VEGFA,VGLL4,WT1,WWP2,YWHAZ,ZBTB20,ZBTB46,ZBTB7A,ZFHX3,ZFPM2,ZIC2,ZNF177,ZNF19,ZNF217,ZNF274,ZNF282,ZNF366,ZNF423,ZNF536,ZNF540,ZNF560,ZNF703,ZNF750,ZNF827	1.0185539850021073e-15	6.884151746132993e-13
GO_BP	combined	Generation Of Neurons (GO:0048699)	159	3755	33010	55	ASCL2,AUTS2,BRSK1,CCK,CDK6,CEP85L,CIT,DCC,DISC1,DNER,EMX1,EMX2,FGF8,FUT9,FZD7,GSX1,INSM1,IRX1,IRX4,ITM2C,LHX1,LHX2,LHX4,LHX6,LHX8,LHX9,LRP4,MDGA1,MEF2C,MYT1L,NAV1,OTP,PHOX2B,POU4F2,PTPRD,RACGAP1,RAPGEF2,RTN1,RTN4,RUNX1,RUNX2,SHH,SIX1,SIX3,SOX11,TAFA1,TGFB2,TRIM46,TUBB2B,VAX1,VAX2,VXN,WNT2,WNT3A,WNT5B	1.0128842188784108e-14	6.08518330163952e-12
GO_BP	combined	Central Nervous System Development (GO:0007417)	260	3755	33010	74	ADGRG1,AIM2,AMIGO3,ARNT2,ASIC2,ATOH1,ATXN1,BTD,CAPG,CDH2,CNTNAP2,COL4A1,CYP26C1,DNER,ECRG4,EEF1AKMT4-ECE2,EMX1,EMX2,EOMES,FOXG1,GIT1,GRHL2,GRIN1,GRIN2A,GRIN2B,GSX1,HPCAL4,ITGAM,JARID2,MAST1,MDGA1,MEIS1,MEIS2,MNX1,MOG,MSI2,MYRF,NDRG4,NES,NF1,NFIB,NKX2-1,NKX2-2,PAX6,PBX1,PBX2P1,PHGDH,POU3F3,POU6F2,PPP1R17,PRKN,PROX1,RBBP4,RTN1,RTN4,SH3GL3,SHH,SIX3,SLC23A2,SLC8A3,SNTG2,SOX11,SOX6,SOX8,SYNJ2,TBC1D23,TBR1,VAX1,VAX2,ZFHX3,ZIC1,ZIC2,ZIC4,ZIC5	3.993049953505326e-14	2.15904210986033e-11
GO_BP	combined	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	527	3755	33010	117	ACVR1,ACVRL1,AKR1B1,ALX1,ARNT2,ATF5,BICRAL,BMP2,BMP7,BRD4,CAMKK2,CD38,CDKN1C,CHD4,CIITA,CREB3L2,CREB5,DLX5,EGFR,ELF1,EOMES,EPO,ERBB4,ESR1,ESR2,ETS1,F2R,FGF2,FLI1,FOXA2,FOXC2,FOXE1,FOXL2,FZD7,GATA4,GATA6,GDF6,GDF7,GLI2,GLI3,HDAC4,HIVEP3,HMGA2,HNF1B,HOXC13,IGF1,INHBA,IRF1,IRF4,IRF7,KAT6B,LEF1,LHX1,LHX2,MAD2L2,MEAF6,MECOM,MEF2C,MITF,MORF4L1,MT3,MTA3,MYRF,NEUROD1,NFATC1,NFATC2,NFIB,NFIL3,NKX2-1,NOS1,NOTCH1,NOTCH4,NR1D2,NR1H2,NR1I2,NR5A2,NUP62,OTX2,PAX2,PAX3,PAX6,PITX3,POU3F3,PRDM11,PRDM16,PRMT2,PYHIN1,RBBP4,RNF111,RORA,RREB1,RUNX1,RUNX2,RUVBL1,RXRB,SALL1,SERTAD3,SHH,SIX1,SKAP1,SOX17,SOX2,SOX8,TAF2,TAL1,TBL1XR1,TEAD1,TFAP2B,TGFB1I1,TRERF1,WNT3A,WT1,ZFHX3,ZIC1,ZIC2,ZMIZ1,ZNF423	7.560089328775358e-13	3.716127545517124e-10
GO_BP	combined	Regulation Of Gene Expression (GO:0010468)	1028	3755	33010	191	ABL1,ACTA1,ACTA2,ACVRL1,ADAM19,ADM2,AFF3,AHNAK,AKR1B1,ANGPT1,ANK2,ANK3,ARNT2,ATF5,ATF7,ATG14,ATP2B4,BMP2,BMP6,BMP7,BMPR1B,BRAF,BTNL2,CALCR,CCN4,CD34,CD36,CDH5,CDK6,CHD4,CHD6,CLDN5,CREB3L1,CRP,CSF1,DLX4,DNAJA4,EDN3,EFEMP1,ENG,ERC1,ESR1,ESR2,ESRRG,ETS1,EZR,FGF18,FGF19,FGF2,FGF3,FGF6,FGF8,FN1,FOXD1,FOXP1,FZD7,GATA4,GCNT2,GON4L,GTF2IRD1,HAND2,HDAC4,HMGA2,HNRNPA1,HOXB-AS3,HOXB7,HOXD13,HOXD3,IFI16,IFNGR1,IGF1,IGF2,IGF2BP1,IHH,ILDR2,INHBA,INSM1,INSR,KAT6B,LEF1,LHX1,LILRB1,LITAF,LRP1,MACROH2A1,MATR3,MEAF6,MEF2C,MITF,MOG,MSC,MT3,MYOD1,MYT1,NFATC2,NFE2L2,NFIL3,NFYC,NKAPL,NKX2-1,NKX6-2,NOTCH1,NR1D2,NR1I2,NR3C1,NR5A2,NRG1,ONECUT1,PARP15,PAX6,PCBP3,PER1,PHF19,PHOX2B,PITX3,POU3F3,POU4F1,POU6F2,PRDM8,PRKCQ,PRKN,PROX1,PRRX2,PTF1A,PTPRC,RB1,RBBP4,RBM20,RBMS3,RHOH,RNF2,RORA,RREB1,RUVBL1,SCRT2,SERTAD3,SFRP2,SHH,SIRPA,SIX1,SKOR1,SKOR2,SLC22A2,SLC8A1,SLC8A2,SOX1,SOX11,SOX17,SOX2,SOX21,SOX6,SPRY2,SRPK2,SRRM4,ST18,STX1B,TCF23,TCF7L1,TGFB2,TLE1,TRIM71,TTBK1,TWIST1,UNCX,VEGFA,VSTM2A,VSX1,WNT3A,WT1,WWP2,WWTR1,YBX3,YTHDC1,YY1AP1,ZBTB20,ZFAT,ZFHX3,ZFP64,ZNF217,ZNF274,ZNF282,ZNF423,ZNF445,ZNF462,ZNF502,ZNF507,ZNF536,ZNF703,ZNF804A,ZNF827,ZNF876P	4.039266968006672e-12	1.820026374667673e-09
GO_BP	combined	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	162	3755	33010	51	ADGRL1,AMIGO3,CADM3,CBLN1,CDH13,CDH17,CDH2,CDH22,CDH23,CDH26,CDH4,CDH5,CDH8,CDH9,CDHR3,CEACAM19,CLDN10,CLDN11,CLDN12,CLDN4,CLDN5,CLDN6,CLDN9,DSCAM,FAT4,HMCN1,IGSF11,ITGAM,KIRREL3,LRFN5,LRRC4,MAG,MPZ,NECTIN3,PALLD,PCDHA7,PCDHGB4,PTPRD,PTPRF,ROBO3,SDK1,SDK2,SELE,SLITRK1,SLITRK3,TENM2,TENM4,TGFB2,UMOD,UNC5D,VCAM1	5.681482522899659e-12	2.363059692409112e-09
GO_BP	combined	Regulation Of Cell Migration (GO:0030334)	416	3755	33010	96	ACVR1,ACVRL1,AMOTL1,ARID2,ARID4B,BMP2,CASS4,CCL11,CDH13,CDH5,CEMIP,CLDN4,CLDN5,CSF1,CTNNA2,DAB2,DRD2,EGFR,ENG,ENPP2,EPHA1,EPHA2,ERBB4,F2R,F7,FER,FGF18,FGF19,FGF2,FGF3,FGF6,FGF8,FLT4,FYN,GCNT2,GNA12,GPNMB,IGF1,IGF1R,INSR,LAMB1,LDB2,LDLRAD4,LEF1,LIMCH1,MACF1,MAGI2,MEAK7,MGAT5,MITF,NAV3,NF1,NKX2-1,NOTCH1,NTF3,PDGFD,PDPN,PHACTR1,PLXNA4,PLXNC1,PODN,PPP3CA,PRR5L,PTK2,PTPRJ,RBBP4,RECK,SASH1,SEMA3C,SEMA3D,SEMA4A,SEMA5A,SEMA6C,SFRP2,SHH,SLIT2,SMAD7,SMIM22,SPRY2,SRC,SRCIN1,SRGAP1,SRGAP3,SST,SYNE2,TCAF1,TET1,TJP1,TMIGD3,TNR,TNXB,TPM1,TWIST1,VEGFA,WNT5B,ZNF703	8.566743786106023e-12	3.3085988322482334e-09
