term	direction	library	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p	missmethyl_p	missmethyl_fdr	missmethyl_n_genes	missmethyl_de_genes	methylgsa_direction_p	methylgsa_direction_padj	methylgsa_direction_nes	methylgsa_size	methylgsa_direction_core	methylgsa_all_p	methylgsa_all_padj	methylgsa_all_nes	methylgsa_all_core	ora_significant	missmethyl_significant	methylgsa_direction_significant	methylgsa_all_significant
reactome_mtor_signaling	hypermethylated	Longevity	40	6368	33010	8	AKT2,EEF2K,EIF4G1,FKBP1A,RPTOR,STK11,STRADA,TSC2	0.517969965473817	0.65923450151213	0.944649502845166	0.997027621349001	41	6	0.642357642357642	0.808857808857809	0.946541426192432	36	RPTOR/TSC2/EIF4G1/PRKAG2/AKT1/FKBP1A/EEF2K/STK11/AKT2/MLST8/RRAGD/PRKAG3/MTOR/CAB39L/SLC38A9/AKT1S1	0.99000999000999	1	0.533804132430231	PRKAG2/RPTOR/TSC2/AKT1/EIF4G1/RRAGD/FKBP1A/EEF2K/STK11/AKT2/CAB39L/MLST8/EIF4EBP1/RRAGB/PRKAG3/CAB39/STRADA/MTOR/STRADB/SLC38A9	FALSE	FALSE	FALSE	FALSE
reactome_lkb1_ampk_mtor_energy_regulation	hypermethylated	Longevity	28	6368	33010	4	RPTOR,STK11,STRADA,TSC2	0.816812915498952	0.848131996319195	0.995255127017737	0.997027621349001	29	2	0.663336663336663	0.808857808857809	0.914262011536827	24	RPTOR/TSC2/PRKAG2/STK11/MLST8/RRAGD/PRKAG3/MTOR/CAB39L/SLC38A9/CAB39/PRKAA1/PRKAA2/TSC1/RRAGC/RHEB/STRADB	0.975733063700708	1	0.545362298902638	PRKAG2/RPTOR/TSC2	FALSE	FALSE	FALSE	FALSE
reactome_mitochondrial_biogenesis	hypermethylated	Longevity	84	6368	33010	13	ATP5MC2,ATP5PB,CHCHD6,CHD9,CREBBP,CRTC1,CRTC2,MEF2C,MEF2D,MICOS10,NR1D1,RXRA,TMEM11	0.848131996319195	0.848131996319195	0.997027621349001	0.997027621349001	89	11	0.596403596403596	0.808857808857809	0.968780320526738	66	CREBBP/GDNF/MEF2C/CRTC1/MEF2D/CHD9/SMARCD3/CAMK4/NCOR1/PRKAG2/RXRA/ESRRA/TBL1XR1/CHCHD6/DNAJC11/LIN9/PPARGC1B/CRTC2/NCOA2/CARM1/MAPK11/PRKAG3/PPARGC1A/ALAS1/TMEM11/TBL1X/NCOA1/NR1D1	0.95004995004995	1	0.702297841616434	CREBBP/GDNF/MEF2C/PRKAG2/CAMK4/MEF2D/CRTC1/CHCHD6/RXRA/CHD9/NCOA1/SMARCD3/NCOR1/NCOA2/ESRRA/PPARGC1A/TBL1XR1/NRF1/DNAJC11/IMMT/LIN9/PPARGC1B/CRTC2/ACSS2/CHCHD3/ALAS1/CRTC3/CARM1/MAPK11/PRKAG3/HCFC1/SAMM50/TBL1X/APOOL	FALSE	FALSE	FALSE	FALSE
reactome_transcriptional_activation_mitochondrial_biogenesis	hypermethylated	Longevity	49	6368	33010	8	CHD9,CREBBP,CRTC1,CRTC2,MEF2C,MEF2D,NR1D1,RXRA	0.754251965462806	0.848131996319195	0.968873789368934	0.997027621349001	52	8	0.275724275724276	0.551448551448551	1.08158845350672	46	CREBBP/GDNF/MEF2C/CRTC1/MEF2D/CHD9/SMARCD3/CAMK4/NCOR1/RXRA/ESRRA/TBL1XR1/LIN9/PPARGC1B/CRTC2/NCOA2/CARM1/PPARGC1A/ALAS1/TBL1X/NCOA1/NR1D1	0.678321678321678	1	0.905281058693776	CREBBP/GDNF/MEF2C/CAMK4/MEF2D/CRTC1/RXRA/CHD9/NCOA1/SMARCD3/NCOR1/NCOA2/ESRRA/PPARGC1A/TBL1XR1/NRF1/LIN9/PPARGC1B/CRTC2/ACSS2/ALAS1/CRTC3/CARM1	FALSE	FALSE	FALSE	FALSE
kegg_ampk_signaling	hypomethylated	Longevity	116	6052	33010	32	ACACA,ADIPOR1,ADRA1A,AKT3,CCNA1,CCND1,CD36,CFTR,CREB5,EIF4EBP1,FOXO3,IGF1,IGF1R,INSR,LEPR,PDPK1,PFKFB2,PFKP,PIK3CB,PIK3CD,PIK3R1,PPARGC1A,PPP2CB,PPP2R2B,PPP2R3A,PPP2R5A,PRKAG2,RAB11B,RAB2A,RPTOR,SREBF1,STRADB	0.0092086599182803	0.128921238855924	0.385420953356783	0.996015921270153	119	30	0.205794205794206	0.999000999000999	1.08815220483178	118	CCND1/CREB5/IGF1R/PPP2R2B/PRKAG2/RPTOR/ADRA1A/PFKP/AKT3/PPP2R2C/HNF4A/SCD5/CCNA1/PIK3CD/INSR/CREB3L2/ACACA/ADIPOQ/FBP1/LEPR/SCD/TBC1D1/TSC2/RAB11B/PFKFB1/PPARG/PCK1/PFKFB3/SREBF1/PPP2CB/PPP2R3A/IGF1/RAB2A/AKT1/PPARGC1A/PPP2R2A/FASN/IRS1/ADIPOR1/PPP2R5A/PIK3R1/PIK3CB/PFKFB2/PFKM/CPT1A/EIF4EBP1/CREB3L3/FOXO1/FOXO3/GYS2/STRADA/IRS4	0.121878121878122	0.426573426573427	1.17759126765083	ADRA1A/AKT3/CCNA1/CCND1/CPT1C/CREB3L1/CREB5/IGF1R/LEP/LEPR/PFKP/PIK3CD/PPP2R2B/PPP2R2C/PRKAG2/RPTOR/SCD5/TSC2/TBC1D1/CPT1A/PFKFB3/CFTR/PPP2R5C/PIK3R1/CPT1B/AKT1/HNF4A/CREB3L2/ULK1/INSR/IGF1/PPARG/RAB11B/ACACA/PPP2R3A/ADIPOQ/FBP1/CAMKK2/SREBF1/IRS2/SCD/LIPE/PFKFB2/PPARGC1A/PFKFB1/PCK1/IRS4/PIK3CA/PPP2CB/EEF2K/STK11/EEF2/IRS1/FOXO1/GYS1/RAB2A/AKT2/PPP2R1A/PPP2R2A/ACACB/CRTC2/SLC2A4/FOXO3/PPP2R2D/FASN/CAB39L/ADIPOR1/PDPK1/PPP2R5A/EIF4EBP1/PIK3CB/PRKAG3	FALSE	FALSE	FALSE	FALSE
go_positive_regulation_stem_cell_differentiation	hypomethylated	Longevity	17	6052	33010	7	PTN,SIRT6,SOX5,SOX6,TBX5,TCF15,TGFB2	0.0242103913076041	0.169472739153229	0.167682459860216	0.996015921270153	17	6	0.298792756539235	0.999000999000999	1.11891004855278	17	PTN/SOX5/TBX5/TGFB2/SOX6/LTBP2	0.000579590695466707	0.0081142697365339	1.87787243206239	HOXB4/PTN/SOX5/TBX5/TCF15/TGFB2/LTBP2/NKX2-5/FOXC1	FALSE	FALSE	FALSE	TRUE
go_negative_regulation_stem_cell_differentiation	hypomethylated	Longevity	12	6052	33010	2	REST,TCF15	0.67496270508668	0.92855963175578	0.788332515025963	0.996015921270153	12	2	0.85005170630817	0.999000999000999	0.745102030784882	11	TCF15/REST/NOTCH1/HNRNPU/GSK3B/HES1	0.347161572052402	0.972052401746725	1.09891095141909	TCF15/NOTCH1/HES5/ZFP36L2	FALSE	FALSE	FALSE	FALSE
kegg_foxo_signaling	hypomethylated	Longevity	126	6052	33010	26	AKT3,C8orf44-SGK3,CCND1,CCND2,CCNG2,EGF,EGFR,FOXO3,GRB2,GRM1,HOMER1,IGF1,IGF1R,IL6,INSR,MAPK10,MAPK13,NLK,PDPK1,PIK3CB,PIK3CD,PIK3R1,PRKAG2,SOS2,TGFB2,TNFSF10	0.284327701501284	0.92855963175578	0.826959565728445	0.996015921270153	128	24	0.999000999000999	0.999000999000999	0.710948641709593	127	CCND1/EGFR/IGF1R/PRKAG2/MAPK10/AKT3/PIK3CD/INSR/TGFB2/RAG1/GRB2/CCND2/GRM1/IKBKB/HOMER1/NLK/EGF/PCK1/SGK2/MAPK13/IGF1/AKT1/AGAP2/IRS1/USP7/CCNB3/SMAD3/ARAF/IL10/IL6/PIK3R1/PIK3CB/TGFBR2/FOXO1/FOXO3/IRS4/SGK1/PDPK1/TGFBR1/KRAS/MAPK9/FOXO4/INS/PLK1/CCNG2/SGK3/GADD45B/FBXO32/PRKAB1/HOMER3/ATM/PRKAA2/IRS2/CDKN1B/MAPK8/FASLG/TGFB1/TNFSF10/PRKAB2/PLK2/SETD7/MAPK11/S1PR4/ATG12/CDKN1A	0.984015984015984	1	0.690556182020965	AKT3/CCND1/CCND2/CREBBP/EGFR/FOXG1/GRM1/IGF1R/PIK3CD/PRKAG2/S1PR1/SGK1/TGFB2/MAPK10/PIK3R1/AKT1/USP7/INSR/AGAP2/BCL6/IGF1/SMAD3/RAG1/GRB2/CSNK1E/BNIP3/TGFBR1/TGFBR2/IKBKB/IRS2/EGF/HOMER1/NLK/SGK2/CDKN1A/PCK1/FOXO4/IRS4/PIK3CA/MAPK13/STK11/IRS1/FOXO1/AKT2/HOMER3/MAP2K2/SLC2A4/FOXO3/CCNB3/PDPK1/TGFB1/ARAF/IL10/IL6/MAPK11/PIK3CB/PRKAG3	FALSE	FALSE	FALSE	FALSE
kegg_mtor_signaling	hypomethylated	Longevity	150	6052	33010	28	AKT3,ATP6V1C2,ATP6V1G1,DEPTOR,EIF4E,EIF4EBP1,FNIP2,GRB10,GRB2,IGF1,IGF1R,INSR,LPIN1,LRP5,PDPK1,PIK3CB,PIK3CD,PIK3R1,PRKCA,PRKCB,RPS6KA2,RPTOR,RRAGD,SOS2,STRADB,TBC1D7,WNT5B,WNT7A	0.491194561703476	0.92855963175578	0.987738001233943	0.996015921270153	154	24	0.81018981018981	0.999000999000999	0.915898022451783	143	GRB10/IGF1R/PRKCA/PRKCB/RPS6KA2/RPTOR/TNF/WNT7A/WNT11/ATP6V1C2/AKT3/WNT5B/PIK3CD/INSR/WNT16/WNT9A/GRB2/SEC13/LRP5/IKBKB/RRAGD/TSC2/ATP6V1B1/SLC7A5/IGF1/ATP6V1C1/AKT1/TBC1D7/ATP6V1G3/WNT10B/PRKCG/IRS1/WNT8A/RRAGB/EIF4E1B/PIK3R1/SLC3A2/PIK3CB/WNT4/ATP6V1E2/LPIN1/ATP6V1G1/EIF4EBP1/WNT7B/WNT3/WNT3A/STRADA/WNT5A/SGK1/PDPK1/STRADB/WNT2B/WNT8B/RPS6KA1/KRAS/FZD9/DVL1/FZD5/FZD6/INS/CAB39/CLIP1/FNIP2/CAB39L/LRP6/MAPKAP1/EIF4E/RPS6KB2/TELO2/PRR5	0.551448551448551	1	0.977410834357302	AKT3/FZD10/GRB10/IGF1R/LRP5/PIK3CD/PRKCA/PRKCB/PRKCG/RPS6KA2/RPTOR/SGK1/TNF/TSC2/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/FZD7/PRR5/WNT7B/WNT5B/ATP6V1C2/WNT9A/PIK3R1/AKT1/ATP6V1B1/ULK1/INSR/WNT9B/IGF1/GRB2/TELO2/FNIP2/RRAGD/SLC3A2/SEC13/WNT6/FZD9/ATP6V1B2/IKBKB/SESN2/WNT3/WNT2B/LRP6/WNT5A/WNT4/SLC7A5/PIK3CA/FZD5/WDR24/STK11/IRS1/LPIN1/AKT2/ATP6V1C1/FZD8/FLCN/TBC1D7/MAP2K2/WNT10B/CLIP1/ATP6V1G3/ULK2/CAB39L/WNT8A/PDPK1/MLST8/EIF4EBP1/TNFRSF1A/RRAGB/EIF4E1B/PIK3CB/DVL1/RPS6KA1/ATP6V1G2/ATP6V1E2/DVL3/DEPDC5/ATP6V1G1/INS/CAB39/WNT8B/DVL2/RPS6KA3/STRADA/NRAS/MAPK1/MTOR/STRADB/SLC38A9/BRAF/HRAS/MAP2K1/MAPKAP1/FZD4/KRAS/PTEN/FZD6	FALSE	FALSE	FALSE	FALSE
kegg_pluripotency_stem_cell_signaling	hypomethylated	Longevity	139	6052	33010	28	AKT3,APC2,BMPR1B,COMMD3-BMI1,ESRRB,FGFR2,GRB2,IGF1,IGF1R,INHBB,JARID2,KAT6A,LEFTY1,LIFR,MAPK13,MEIS1,NODAL,PCGF3,PIK3CB,PIK3CD,PIK3R1,POU5F1,REST,SMAD2,SMAD9,WNT5B,WNT7A,ZFHX3	0.322360988233372	0.92855963175578	0.982448727568963	0.996015921270153	141	24	0.502497502497502	0.999000999000999	0.997487965490938	140	IGF1R/WNT7A/ZFHX3/ESRRB/WNT11/SMAD9/AKT3/JARID2/WNT5B/POU5F1/PIK3CD/FGFR3/WNT16/FGFR4/PCGF3/WNT9A/GRB2/BMPR1A/MEIS1/BMPR1B/APC/LIFR/SMAD2/MAPK13/IGF1/JAK3/AKT1/INHBA/AXIN1/INHBB/WNT10B/NODAL/WNT8A/PAX6/SMAD3/PIK3R1/JAK1/PIK3CB/LIF/ACVR2B/FGFR2/WNT4/AXIN2/FGF2/LEFTY1/BMP4/TBX3/WNT7B/WNT3/WNT3A/WNT5A/BMI1/ACVR1/HOXA1/WNT2B/WNT8B/KRAS/FZD9/INHBC/DVL1/POU5F1B/FZD5/FZD6/ACVR1B/REST/DLX5/ZIC3	0.00635792665045164	0.0445054865531615	1.33461635135059	AKT3/APC/APC2/BMP4/DLX5/ESRRB/ESX1/FGF2/FGFR1/FZD10/HAND1/HOXA1/ID4/IGF1R/ISL1/JAK3/LHX5/MEIS1/NEUROG1/ONECUT1/OTX1/PAX6/PIK3CD/SMAD9/WNT1/WNT10A/WNT11/WNT16/WNT2/WNT3A/WNT7A/ZFHX3/JARID2/FZD7/PCGF3/WNT7B/WNT5B/WNT9A/NODAL/HOXD1/PIK3R1/AKT1/POU5F1/BMPR1A/WNT9B/FGFR3/MYF5/FGFR4/IGF1/SMAD3/GRB2/ACVR2A/TCF3/WNT6/TCF7/FZD9/AXIN1/ACVR1/BMPR1B/ZIC3/WNT3/AXIN2	FALSE	FALSE	FALSE	TRUE
reactome_foxo_mediated_transcription	hypomethylated	Longevity	62	6052	33010	12	AKT3,CCNG2,FOXO3,HDAC1,NFYC,NPY,PLXNA4,PPARGC1A,SMAD2,SREBF1,YWHAG,YWHAZ	0.468721456045281	0.92855963175578	0.755802331142923	0.996015921270153	64	12	0.848151848151848	0.999000999000999	0.861527256184132	63	PLXNA4/AKT3/YWHAG/PCK1/NR3C1/SREBF1/NPY/NFYC/SMAD2/PINK1/AKT1/PPARGC1A/CAV1/HDAC1/SMAD3/YWHAZ/IGFBP1/GLYAT/FOXO1/FOXO3/PCBP4/FOXO4/SIRT3/INS/RETN/POMC/CCNG2/FBXO32	0.876123876123876	1	0.792584328962485	AKT3/CAV1/CREBBP/FOXG1/NPY/PLXNA4/POMC/NR3C1/AKT1/BCL6/SMAD3/NFYC/SREBF1/YWHAG/PPARGC1A/CDKN1A/PCK1/FOXO4/PCBP4/SMAD2/STK11/BBC3/FOXO1/AKT2/PINK1/MAP4K2/FOXO3/HDAC1/BTG1/YWHAZ/IGFBP1/NFYB/INS/FBXO32/RETN/GLYAT	FALSE	FALSE	FALSE	FALSE
reactome_lkb1_ampk_mtor_energy_regulation	hypomethylated	Longevity	28	6052	33010	4	PRKAG2,RPTOR,RRAGD,STRADB	0.781697002050993	0.92855963175578	0.954461418524482	0.996015921270153	29	3	0.958041958041958	0.999000999000999	0.682813860304953	24	PRKAG2/RPTOR/RRAGD/TSC2/RRAGB/STRADA/STRADB/CAB39/CAB39L/PRKAB1/PPM1A/PRKAA2/PRKAB2	0.975733063700708	1	0.545362298902638	PRKAG2/RPTOR/TSC2	FALSE	FALSE	FALSE	FALSE
reactome_mitochondrial_biogenesis	hypomethylated	Longevity	84	6052	33010	12	ATP5MG,CAMK4,CHCHD6,CHD9,MEF2C,MEF2D,MICOS10,NRF1,PPARGC1A,PRKAG2,TBL1XR1,TFB2M	0.866458087795539	0.92855963175578	0.996015921270153	0.996015921270153	89	9	0.987012987012987	0.999000999000999	0.708775768441927	66	PRKAG2/NCOA1/CAMK4/CHCHD6/RXRA/MEF2C/NRF1/IMMT/MEF2D/PPARGC1A/CRTC1/ACSS2/CRTC3/NCOA2/TBL1XR1/APOOL/APOO/CHCHD3/HCFC1/SAMM50/SSBP1/PPARA/SIRT3/POLRMT/GLUD2/ALAS1/TBL1X/PRKAB1/GDNF/PRKAA2/NCOA6/DNAJC11/PRKAB2/MAPK11/TFB1M	0.95004995004995	1	0.702297841616434	CREBBP/GDNF/MEF2C/PRKAG2/CAMK4/MEF2D/CRTC1/CHCHD6/RXRA/CHD9/NCOA1/SMARCD3/NCOR1/NCOA2/ESRRA/PPARGC1A/TBL1XR1/NRF1/DNAJC11/IMMT/LIN9/PPARGC1B/CRTC2/ACSS2/CHCHD3/ALAS1/CRTC3/CARM1/MAPK11/PRKAG3/HCFC1/SAMM50/TBL1X/APOOL	FALSE	FALSE	FALSE	FALSE
reactome_mtor_signaling	hypomethylated	Longevity	40	6052	33010	6	EIF4E,EIF4EBP1,PRKAG2,RPTOR,RRAGD,STRADB	0.767192402741764	0.92855963175578	0.947048967181427	0.996015921270153	41	5	0.986013986013986	0.999000999000999	0.664002746045907	36	PRKAG2/RPTOR/RRAGD/TSC2/AKT1/RRAGB/EIF4G1/EIF4EBP1/STRADA/STRADB/CAB39/CAB39L/EIF4E/PRKAB1/PPM1A/PRKAA2/PRKAB2/RHEB/FKBP1A/PRKAG3/EEF2K	0.99000999000999	1	0.533804132430231	PRKAG2/RPTOR/TSC2/AKT1/EIF4G1/RRAGD/FKBP1A/EEF2K/STK11/AKT2/CAB39L/MLST8/EIF4EBP1/RRAGB/PRKAG3/CAB39/STRADA/MTOR/STRADB/SLC38A9	FALSE	FALSE	FALSE	FALSE
reactome_pluripotent_stem_cell_transcription	hypomethylated	Longevity	28	6052	33010	6	DPPA4,EPHA1,FOXP1,PBX1,SALL1,SMAD2	0.409350048488512	0.92855963175578	0.549227883036853	0.996015921270153	29	7	0.134865134865135	0.999000999000999	1.21178457717149	28	FGF13/FOXP1/PBX1/SALL1/EPHA1/DPPA4/SMAD2/NR5A1/SALL4/PRDM14/EPAS1/HIF3A/ZSCAN10/NR6A1/EOMES/GATA6/ZIC3	0.0390781563126252	0.182364729458918	1.44255436067084	CDX2/DKK1/EOMES/FGF13/FOXP1/HIF3A/PBX1/PRDM14/SALL1/EPHA1/GSC/FOXD3/EPAS1/NR5A1/ZIC3/DPPA4/NR6A1/SMAD2/HHEX	FALSE	FALSE	FALSE	FALSE
reactome_telomere_extension_by_telomerase	hypomethylated	Longevity	22	6052	33010	3	CCNA1,SHQ1,TERF2IP	0.795931291915825	0.92855963175578	0.955865233353312	0.996015921270153	23	2	0.848	0.999000999000999	0.794264067777624	22	TERT/CCNA1/DKC1/NHP2/SHQ1	0.947906026557712	1	0.600687913723917	CCNA1/TERT/DKC1/PIF1/RUVBL2/RTEL1/ANKRD28/NHP2/SHQ1/CDK2	FALSE	FALSE	FALSE	FALSE
reactome_telomere_maintenance	hypomethylated	Longevity	85	6052	33010	11	CCNA1,CHTF18,H2BC17,H2BC5,LRIG1,POLR2B,PRIM1,RFC4,SHQ1,SLC19A1,TERF2IP	0.92855963175578	0.92855963175578	0.987671554474059	0.996015921270153	89	9	0.994005994005994	0.999000999000999	0.683617266321269	61	TERT/LRIG1/CCNA1/ATRX/DKC1/PRIM1/DNA2/RFC4/POLA1/NHP2/POLR2B/RFC2/SHQ1/DSCC1/SLC19A1/PRIM2/PCNA/CHTF18	1	1	0.425702006665279	CCNA1/TERT/LRIG1/DAXX/ATRX/DKC1/PIF1/DSCC1/PRIM1/POLD2/SLC19A1/POLR2A/DNA2/RUVBL2/RTEL1/ANKRD28/RFC4/POLA1/NHP2/POLR2B/RFC2/WRN	FALSE	FALSE	FALSE	FALSE
reactome_transcriptional_activation_mitochondrial_biogenesis	hypomethylated	Longevity	49	6052	33010	8	CAMK4,CHD9,MEF2C,MEF2D,NRF1,PPARGC1A,TBL1XR1,TFB2M	0.698215658906268	0.92855963175578	0.942919568180681	0.996015921270153	52	7	0.993006993006993	0.999000999000999	0.647117618044013	46	NCOA1/CAMK4/RXRA/MEF2C/NRF1/MEF2D/PPARGC1A/CRTC1/ACSS2/CRTC3/NCOA2/TBL1XR1/HCFC1/SSBP1/PPARA/SIRT3/POLRMT/GLUD2/ALAS1/TBL1X/GDNF	0.678321678321678	1	0.905281058693776	CREBBP/GDNF/MEF2C/CAMK4/MEF2D/CRTC1/RXRA/CHD9/NCOA1/SMARCD3/NCOR1/NCOA2/ESRRA/PPARGC1A/TBL1XR1/NRF1/LIN9/PPARGC1B/CRTC2/ACSS2/ALAS1/CRTC3/CARM1	FALSE	FALSE	FALSE	FALSE
