library	direction	term	n_genes	query_size	background_size	overlap_n	overlap_genes	p	adj_p
SupervisorArrays	hypomethylated	15. ECM / Skin Aging	86	6052	33010	27	ADAMTS2,CD36,COL11A2,COL14A1,COL18A1,COL23A1,COL26A1,COL4A1,COL4A2,COL5A1,COL5A3,COL6A1,COL6A2,COL8A1,COL9A1,COLGALT2,ELFN1,FLRT2,FN1,HAS1,ITGA1,ITGB1,LAMA1,LAMB1,P4HA2,PCOLCE,RPSA	0.00240831399549039	0.0481662799098077
SupervisorArrays	hypomethylated	17. Inflammation / Immunosenescence	227	6052	33010	56	ACKR1,ACKR2,AIM2,CCL1,CCL11,CCL13,CCL14,CCL7,CCL8,CCR1,CCR3,CCR5,CISH,CXCR1,CXCR6,DOCK2,DOCK3,IFNA8,IL12A,IL12B,IL12RB2,IL15,IL17A,IL17RE,IL18,IL18RAP,IL19,IL1R1,IL1RAP,IL20,IL20RA,IL21,IL21R,IL22RA2,IL23R,IL24,IL27RA,IL37,IL4R,IL5RA,IL6,IL7,IRF1,IRF4,IRF6,IRF8,ISG15,ITK,NLRP3,OSMR,PRDM1,RIPK2,TAFA4,TAFA5,TLR1,VNN2	0.0102463206621462	0.136617608828616
SupervisorArrays	hypomethylated	09. IGF / Insulin Signaling	20	6052	33010	8	IGF1,IGF1R,IGF2,IGF2BP1,IGF2BP2,IGF2BP3,IGFALS,PAPPA	0.0196555384359893	0.143208889413365
SupervisorArrays	hypomethylated	14. VEGF / Angiogenesis	10	6052	33010	5	CXCL17,FLT1,FLT4,PDGFC,VEGFC	0.0229860585518592	0.143208889413365
SupervisorArrays	hypomethylated	09. Growth Hormone Axis	7	6052	33010	4	GHR,GHRHR,GHRL,SST	0.0246498251335663	0.143208889413365
SupervisorArrays	hypomethylated	19. Other Longevity-Related	291	6052	33010	67	ADGRE3,AGTR1,ARHGAP26,BNIP3L,CBLC,CENPM,CERS6,CLEC2A,CYP19A1,EIF3F,ESR1,ESRRB,EXOSC10,FBLN5,IKZF1,KMO,KRT18,KYNU,LNX1,MINDY2,MYLIP,NEDD4L,NQO2,PDE8B,PELI2,PPARGC1A,PRKN,PTGS2,PTP4A2,REG1A,REG1B,REG3A,RNF130,RNF144A,RNF2,RNF8,S100A16,SAE1,SIAH2,SIPA1L1,SMURF1,SULT2A1,TFF1,TRAF1,TRAF5,TRAF7,TRIM27,TRIM31,TRIM36,TRIM39,TRIM5,TRIM62,TRIM71,UBASH3B,UBD,UBE2H,UBE2N,UBE2R2,UBE4B,UBR5,USP10,USP22,USP30,USP36,USP38,USP44,USP5	0.0250615556473388	0.143208889413365
SupervisorArrays	hypomethylated	18. Oncogenes / Tumor Suppressors	70	6052	33010	19	BCL11B,CADM1,CCDC80,DCC,DIRAS1,EXTL3,FER,FLI1,FYN,LZTS1,MYB,MYCL,MYEOV,NET1,ROS1,RUNX1,RUNX2,RUNX3,THPO	0.0447184522926613	0.223592261463307
SupervisorArrays	hypomethylated	13. BMP / GDF Signaling	18	6052	33010	6	BMP2,BMP3,BMP6,BMPER,BMPR1B,ZMYND11	0.0955136028191219	0.398615387228653
SupervisorArrays	hypomethylated	18. Progeroid / Premature Aging	31	6052	33010	9	CUBN,FILIP1,FLNB,FLNC,GGACT,MTRR,PEBP4,TCN1,TMPO	0.0996538468071631	0.398615387228653
SupervisorArrays	hypomethylated	13. TGF-beta Signaling	25	6052	33010	7	GFRA1,LRRC32,LTBP1,TAB2,TGFB2,TGFBI,TGFBRAP1	0.159619570400848	0.5586347692738
SupervisorArrays	hypomethylated	14. PDGF Signaling	8	6052	33010	3	PDAP1,PDGFD,PDGFRA	0.16759043078214	0.5586347692738
SupervisorArrays	hypomethylated	11. Metabolic Hormones	5	6052	33010	2	ADIPOR1,LEPR	0.228989536504451	0.704583189244464
SupervisorArrays	hypomethylated	17. TNF Superfamily	39	6052	33010	9	ADAM17,C1QL3,C1QTNF6,C1QTNF8,CD40,EDAR,TNFAIP6,TNFAIP8,TNFSF4	0.278090405936573	0.759375996116701
SupervisorArrays	hypomethylated	06. Cellular Senescence / SASP	6	6052	33010	2	ATP13A3,CLDN1	0.30375039844668	0.759375996116701
SupervisorArrays	hypomethylated	10. FGF21-FGF23-Klotho Axis	6	6052	33010	2	FGF23,GBA3	0.30375039844668	0.759375996116701
SupervisorArrays	hypomethylated	12. Stem Cell Regulation	11	6052	33010	3	CCL23,DPPA2,IL1A	0.327406992216863	0.770369393451443
SupervisorArrays	hypomethylated	16. Hedgehog Signaling	3	6052	33010	1	GLI1	0.455349918851537	1
SupervisorArrays	hypomethylated	14. Neurotrophins	9	6052	33010	2	NGF,NTF3	0.511983379982193	1
SupervisorArrays	hypomethylated	05. DNA Damage & Repair	146	6052	33010	27	ADGRL2,ADGRL3,ALKBH1,BABAM2,CD44,CLU,KLK4,MAGI2,MDC1,MME,MMP10,MMP12,MMP16,MMP26,NPPB,OPA1,PARP1,PARP4,PHF11,RAD54B,RAD9A,SRRM4,ST14,TTC12,TTC6,XRCC1,XRCC2	0.513875160115928	1
SupervisorArrays	hypomethylated	11. NAD+ Metabolism	4	6052	33010	1	NMNAT2	0.555214259479601	1
SupervisorArrays	hypomethylated	14. FGF Family	33	6052	33010	6	CEP43,FGF1,FGF12,FGF6,FGFR2,FRS2	0.579575627083374	1
SupervisorArrays	hypomethylated	05. Epigenetic Regulators	11	6052	33010	2	HDAC1,HDAC4	0.626165770011196	1
SupervisorArrays	hypomethylated	03. AMPK Pathway	5	6052	33010	1	NUAK1	0.636770440223388	1
SupervisorArrays	hypomethylated	02. Sirtuins	6	6052	33010	1	SIRT6	0.70337444857873	1
SupervisorArrays	hypomethylated	04. Autophagy	14	6052	33010	2	ATG10,ATG5	0.756896527568681	1
SupervisorArrays	hypomethylated	14. HGF Signaling	7	6052	33010	1	SPINT2	0.757767183919947	1
SupervisorArrays	hypomethylated	16. Notch Signaling	7	6052	33010	1	NOTCH4	0.757767183919947	1
SupervisorArrays	hypomethylated	07. Apoptosis	114	6052	33010	18	BCL2,BIRC8,BMF,BNIPL,CARD11,CD5L,COX7B2,LMTK2,MCL1,NLRP1,NOD1,NOD2,PAWR,PLEKHF2,PYCARD,SFRP1,TNFSF10,UQCRFS1	0.792864336883376	1
SupervisorArrays	hypomethylated	16. Wnt Signaling	22	6052	33010	3	TPBG,WNT5B,WNT7A	0.795931291915825	1
SupervisorArrays	hypomethylated	03. mTOR Pathway	10	6052	33010	1	DEPTOR	0.868086723806346	1
SupervisorArrays	hypomethylated	04. Heat Shock / Chaperones	47	6052	33010	6	DNAJB1,HSP90AB1,HSPA2,MESD,PACRG,TRAP1	0.884324648825722	1
SupervisorArrays	hypomethylated	08. Antioxidant / Oxidative Stress	54	6052	33010	7	GPX5,GSTP1,GSTZ1,HPGDS,PRDX1,TSTD1,TXNRD1	0.888467718200654	1
SupervisorArrays	hypomethylated	06. Cell Cycle Regulators	121	6052	33010	17	ARPP21,BAIAP2,CCNA1,CCND1,CCND2,CDK6,CYFIP2,IGFBP7,KHDRBS1,LITAF,LYN,PAK2,PTGIS,RB1,RBBP4,RRM2B,SIGLEC16	0.913296296911282	1
SupervisorArrays	hypomethylated	04. Proteasome / Proteostasis	45	6052	33010	3	PSMB4,PSMD12,SEM1	0.993309053740661	1
SupervisorArrays	hypomethylated	08. Mitochondrial Function	243	6052	33010	30	ACSS3,AK2,ALDH1L2,ALDH2,CLYBL,COX10,DMGDH,DUT,ECI1,HIBADH,HMGCL,IDH3A,MCCC2,MDH2,MRPL23,MRPS22,MRPS36,MTFR1,MTHFD1L,NDUFA10,NDUFV2,NUDT13,PARL,PCCA,PGS1,SLC25A21,SUCLG2,TFB2M,TIMM10B,UCP2	0.995539150826002	1
SupervisorArrays	hypomethylated	01. Telomere Maintenance	14	6052	33010	0		1	1
SupervisorArrays	hypomethylated	03. FOXO Pathway	2	6052	33010	0		1	1
SupervisorArrays	hypomethylated	10. GDF Aging Biomarkers	2	6052	33010	0		1	1
SupervisorArrays	hypomethylated	18. Circadian Clock	2	6052	33010	0		1	1
